dt_id,dm_id,inv_id,descr,open_date
2,2,3,sample description sorry,231
9,5,203,sample description sorry,611
11,6,163,sample description sorry,53
6,1,192,sample description sorry,21
11,1,878,sample description sorry,196
6,2,227,sample description sorry,81
6,4,678,sample description sorry,653
4,1,560,sample description sorry,654
10,3,613,sample description sorry,254
7,5,557,sample description sorry,526
9,7,432,sample description sorry,183
9,2,235,sample description sorry,96
7,2,784,sample description sorry,289
5,1,311,sample description sorry,444
9,2,622,sample description sorry,262
3,7,147,sample description sorry,596
3,2,242,sample description sorry,66
6,5,486,sample description sorry,469
8,1,228,sample description sorry,387
3,1,598,sample description sorry,189
9,4,253,sample description sorry,373
3,6,685,sample description sorry,35
11,6,121,sample description sorry,228
8,5,360,sample description sorry,290
2,1,6,sample description sorry,512
6,6,276,sample description sorry,156
1,4,400,sample description sorry,340
6,6,336,sample description sorry,688
6,7,427,sample description sorry,407
6,1,615,sample description sorry,316
11,7,855,sample description sorry,262
3,5,146,sample description sorry,541
10,5,127,sample description sorry,537
11,6,271,sample description sorry,10
8,5,699,sample description sorry,126
11,2,894,sample description sorry,102
8,3,442,sample description sorry,9
2,5,381,sample description sorry,23
8,7,782,sample description sorry,552
7,2,892,sample description sorry,74
6,1,915,sample description sorry,409
3,7,910,sample description sorry,609
5,6,381,sample description sorry,614
9,6,416,sample description sorry,219
9,5,345,sample description sorry,497
4,7,420,sample description sorry,119
9,6,601,sample description sorry,371
7,2,178,sample description sorry,145
3,4,504,sample description sorry,698
2,6,934,sample description sorry,525
5,4,381,sample description sorry,591
8,2,368,sample description sorry,540
2,4,188,sample description sorry,100
2,3,684,sample description sorry,413
10,1,123,sample description sorry,59
2,1,607,sample description sorry,697
9,2,728,sample description sorry,99
7,5,619,sample description sorry,388
1,5,865,sample description sorry,254
5,1,51,sample description sorry,413
3,5,495,sample description sorry,687
2,6,356,sample description sorry,149
2,6,886,sample description sorry,25
7,4,239,sample description sorry,174
9,6,646,sample description sorry,262
9,4,65,sample description sorry,634
11,1,703,sample description sorry,578
2,4,977,sample description sorry,407
4,1,897,sample description sorry,685
5,6,774,sample description sorry,630
9,7,825,sample description sorry,340
4,3,927,sample description sorry,464
10,4,601,sample description sorry,452
8,4,982,sample description sorry,529
9,5,525,sample description sorry,69
11,6,908,sample description sorry,250
6,5,247,sample description sorry,213
9,6,96,sample description sorry,649
9,6,378,sample description sorry,538
9,2,63,sample description sorry,425
10,1,847,sample description sorry,118
8,6,661,sample description sorry,424
8,7,735,sample description sorry,341
6,3,989,sample description sorry,562
11,4,884,sample description sorry,123
2,3,214,sample description sorry,294
6,5,156,sample description sorry,108
1,6,366,sample description sorry,152
5,3,397,sample description sorry,632
7,6,292,sample description sorry,491
11,3,384,sample description sorry,463
8,1,919,sample description sorry,394
2,4,979,sample description sorry,488
11,1,794,sample description sorry,672
1,1,765,sample description sorry,678
9,3,100,sample description sorry,460
10,4,206,sample description sorry,44
6,1,211,sample description sorry,290
10,5,43,sample description sorry,643
11,2,844,sample description sorry,336
10,2,477,sample description sorry,234
6,3,927,sample description sorry,268
8,2,676,sample description sorry,366
11,4,73,sample description sorry,77
11,4,434,sample description sorry,283
7,2,346,sample description sorry,396
10,6,623,sample description sorry,374
1,5,996,sample description sorry,275
10,2,67,sample description sorry,8
10,5,112,sample description sorry,101
8,3,211,sample description sorry,221
4,7,251,sample description sorry,157
5,3,362,sample description sorry,265
7,2,222,sample description sorry,324
11,4,939,sample description sorry,407
5,5,374,sample description sorry,493
7,2,88,sample description sorry,84
7,4,130,sample description sorry,655
9,4,621,sample description sorry,99
8,1,256,sample description sorry,243
3,1,374,sample description sorry,665
2,3,714,sample description sorry,41
9,3,52,sample description sorry,489
8,3,574,sample description sorry,229
6,7,599,sample description sorry,137
3,1,32,sample description sorry,118
8,4,351,sample description sorry,141
1,3,397,sample description sorry,249
10,6,664,sample description sorry,380
4,7,796,sample description sorry,649
3,7,50,sample description sorry,299
5,7,629,sample description sorry,466
6,3,498,sample description sorry,56
10,2,318,sample description sorry,526
4,7,523,sample description sorry,173
6,2,495,sample description sorry,416
9,5,947,sample description sorry,238
3,1,727,sample description sorry,420
2,5,327,sample description sorry,440
11,1,629,sample description sorry,86
11,4,946,sample description sorry,247
5,4,766,sample description sorry,633
9,3,487,sample description sorry,367
2,1,713,sample description sorry,533
3,5,703,sample description sorry,156
7,6,490,sample description sorry,465
6,7,654,sample description sorry,212
7,5,51,sample description sorry,415
11,3,446,sample description sorry,666
11,1,613,sample description sorry,647
11,1,116,sample description sorry,387
8,2,787,sample description sorry,298
7,2,629,sample description sorry,138
4,6,41,sample description sorry,623
2,7,1001,sample description sorry,269
9,2,840,sample description sorry,133
1,5,600,sample description sorry,658
6,1,793,sample description sorry,604
6,5,236,sample description sorry,681
5,3,412,sample description sorry,425
2,1,746,sample description sorry,301
10,4,978,sample description sorry,577
8,2,43,sample description sorry,83
8,3,477,sample description sorry,345
6,5,272,sample description sorry,680
4,2,321,sample description sorry,653
5,7,643,sample description sorry,116
2,2,900,sample description sorry,184
9,4,680,sample description sorry,383
5,7,677,sample description sorry,145
11,7,700,sample description sorry,337
7,4,851,sample description sorry,507
8,4,239,sample description sorry,239
5,3,286,sample description sorry,3
6,1,11,sample description sorry,491
8,5,353,sample description sorry,437
11,2,127,sample description sorry,240
9,2,61,sample description sorry,97
9,5,741,sample description sorry,241
1,1,197,sample description sorry,89
8,3,587,sample description sorry,633
6,6,274,sample description sorry,396
3,5,72,sample description sorry,343
11,2,8,sample description sorry,663
4,1,61,sample description sorry,21
2,5,212,sample description sorry,698
3,4,317,sample description sorry,471
5,6,251,sample description sorry,570
9,2,687,sample description sorry,210
1,4,853,sample description sorry,88
11,6,25,sample description sorry,483
1,7,29,sample description sorry,368
6,4,292,sample description sorry,269
10,2,648,sample description sorry,464
2,3,179,sample description sorry,114
5,7,318,sample description sorry,271
3,6,547,sample description sorry,648
11,6,513,sample description sorry,655
7,6,805,sample description sorry,279
5,3,100,sample description sorry,429
7,6,209,sample description sorry,671
8,7,999,sample description sorry,198
7,4,446,sample description sorry,382
3,4,698,sample description sorry,415
10,5,596,sample description sorry,276
5,6,49,sample description sorry,429
10,7,60,sample description sorry,230
7,2,632,sample description sorry,390
6,6,903,sample description sorry,211
10,3,611,sample description sorry,503
4,3,848,sample description sorry,124
3,4,694,sample description sorry,518
6,1,416,sample description sorry,305
9,5,805,sample description sorry,544
11,4,159,sample description sorry,468
9,1,703,sample description sorry,502
2,1,418,sample description sorry,536
3,3,981,sample description sorry,348
10,7,532,sample description sorry,279
3,5,343,sample description sorry,56
1,5,100,sample description sorry,174
8,6,997,sample description sorry,353
6,4,427,sample description sorry,410
9,4,541,sample description sorry,140
11,5,418,sample description sorry,156
1,1,495,sample description sorry,270
5,5,132,sample description sorry,590
3,7,217,sample description sorry,426
10,4,58,sample description sorry,697
3,1,534,sample description sorry,192
4,6,435,sample description sorry,315
3,1,275,sample description sorry,209
5,2,849,sample description sorry,286
1,2,960,sample description sorry,271
4,2,692,sample description sorry,515
11,7,699,sample description sorry,644
8,7,732,sample description sorry,217
4,7,162,sample description sorry,75
10,3,694,sample description sorry,564
11,5,291,sample description sorry,690
2,6,971,sample description sorry,360
11,4,51,sample description sorry,455
7,3,12,sample description sorry,246
5,6,37,sample description sorry,317
6,5,262,sample description sorry,308
1,3,554,sample description sorry,432
5,5,381,sample description sorry,247
10,6,641,sample description sorry,651
7,1,429,sample description sorry,129
10,5,647,sample description sorry,171
3,4,877,sample description sorry,625
3,2,680,sample description sorry,204
6,1,917,sample description sorry,115
11,7,378,sample description sorry,200
7,2,100,sample description sorry,26
5,4,155,sample description sorry,71
5,4,255,sample description sorry,322
8,5,410,sample description sorry,667
2,7,163,sample description sorry,389
6,6,350,sample description sorry,645
4,2,76,sample description sorry,556
8,2,637,sample description sorry,239
3,4,645,sample description sorry,393
6,5,747,sample description sorry,74
10,5,518,sample description sorry,580
4,5,515,sample description sorry,696
10,7,505,sample description sorry,465
9,4,28,sample description sorry,207
2,5,213,sample description sorry,309
6,6,320,sample description sorry,29
1,5,999,sample description sorry,276
5,7,191,sample description sorry,190
3,3,454,sample description sorry,351
11,3,993,sample description sorry,80
6,3,463,sample description sorry,183
8,3,809,sample description sorry,139
2,1,441,sample description sorry,665
10,1,744,sample description sorry,372
1,1,924,sample description sorry,270
6,6,161,sample description sorry,599
3,5,149,sample description sorry,16
7,4,447,sample description sorry,647
4,4,221,sample description sorry,439
8,7,287,sample description sorry,230
9,6,154,sample description sorry,513
9,4,696,sample description sorry,622
7,3,897,sample description sorry,641
3,5,686,sample description sorry,628
7,6,518,sample description sorry,526
3,1,138,sample description sorry,23
5,3,548,sample description sorry,230
1,1,609,sample description sorry,595
9,1,179,sample description sorry,372
7,1,503,sample description sorry,114
2,6,801,sample description sorry,463
10,4,269,sample description sorry,349
6,1,355,sample description sorry,429
6,6,480,sample description sorry,78
5,4,327,sample description sorry,593
7,3,985,sample description sorry,590
2,3,678,sample description sorry,490
4,5,162,sample description sorry,543
4,7,365,sample description sorry,615
2,2,951,sample description sorry,367
2,6,601,sample description sorry,324
1,7,262,sample description sorry,31
9,5,133,sample description sorry,549
8,6,803,sample description sorry,86
4,6,232,sample description sorry,694
7,2,429,sample description sorry,525
7,4,444,sample description sorry,433
2,2,850,sample description sorry,297
1,7,516,sample description sorry,336
3,1,213,sample description sorry,330
2,4,868,sample description sorry,523
5,6,311,sample description sorry,651
9,3,327,sample description sorry,146
9,5,492,sample description sorry,538
5,5,262,sample description sorry,32
11,7,242,sample description sorry,567
3,3,171,sample description sorry,93
10,3,576,sample description sorry,500
2,5,485,sample description sorry,245
1,3,60,sample description sorry,76
9,2,410,sample description sorry,695
10,4,828,sample description sorry,326
9,3,118,sample description sorry,130
4,2,887,sample description sorry,134
9,1,937,sample description sorry,493
2,7,729,sample description sorry,88
1,1,926,sample description sorry,199
4,5,163,sample description sorry,211
6,2,765,sample description sorry,398
9,4,841,sample description sorry,12
11,2,803,sample description sorry,236
10,3,115,sample description sorry,249
10,3,805,sample description sorry,647
8,7,955,sample description sorry,633
10,7,766,sample description sorry,636
9,6,249,sample description sorry,316
7,3,683,sample description sorry,382
5,1,262,sample description sorry,242
4,1,759,sample description sorry,239
6,2,965,sample description sorry,36
8,6,153,sample description sorry,58
1,5,313,sample description sorry,358
11,5,561,sample description sorry,562
7,6,811,sample description sorry,46
10,4,804,sample description sorry,282
8,4,254,sample description sorry,144
4,7,160,sample description sorry,460
1,5,48,sample description sorry,146
11,2,733,sample description sorry,461
5,2,232,sample description sorry,676
1,1,351,sample description sorry,555
10,1,938,sample description sorry,193
11,3,598,sample description sorry,596
5,4,367,sample description sorry,220
1,7,38,sample description sorry,154
7,1,1000,sample description sorry,228
3,1,241,sample description sorry,450
3,7,975,sample description sorry,432
6,5,880,sample description sorry,20
1,2,853,sample description sorry,700
2,7,203,sample description sorry,543
8,6,349,sample description sorry,174
6,4,406,sample description sorry,393
8,7,900,sample description sorry,51
10,3,191,sample description sorry,194
9,3,619,sample description sorry,231
5,1,155,sample description sorry,491
2,2,725,sample description sorry,289
11,6,882,sample description sorry,298
5,2,833,sample description sorry,69
10,6,230,sample description sorry,125
5,3,417,sample description sorry,201
4,1,611,sample description sorry,159
6,6,722,sample description sorry,504
5,2,318,sample description sorry,589
11,1,24,sample description sorry,193
9,7,824,sample description sorry,459
3,2,286,sample description sorry,242
8,7,594,sample description sorry,449
1,7,755,sample description sorry,17
1,7,980,sample description sorry,32
4,5,834,sample description sorry,10
9,1,294,sample description sorry,212
5,6,492,sample description sorry,35
10,5,672,sample description sorry,284
8,5,197,sample description sorry,354
