name,quantity,price
Mac_Pro2013_Sensors,5,46
Lenovo_T500_Camera,13,15
Lenovo_T320_Keyboard,1,2
Mac_MBPR15-14_Camera,14,71
iPod_classic_Sensors,6,70
Mac_Pro2015_Screen,17,41
iPod_4_ChargingModule,14,86
iPad_Air2_CellularModule,11,2
iPhone_5c_Camera,1,67
Mac_MBPR15-14_WiredNetwork,17,14
Nexus_5X_Storage,13,95
iPad_Pro_AmbientLightSensor,20,91
Lenovo_Yoga_GeneralButtons,7,2
Lenovo_T1260_Camera,9,42
Lenovo_T340_Keyboard,9,21
iPod_classic_Network,7,53
Mac_2015_Storage,16,18
Mac_MBRP13-13_Network,5,4
Lenovo_Yoga2Elyis1_Network,5,81
Mac_2012_LogicBoard,14,3
Lenovo_Elyis2_ChargingModule,11,25
Mac_MBA11-14_Battery,2,85
iPhone_5_Network,15,47
Lenovo_T420_Touchpad,12,18
Lenovo_TP1260_Network,8,47
iPod_classic_AmbientLightSensor,9,78
iPod_nano6_AmbientLightSensor,4,83
Nexus_4_GeneralButtons,3,86
iPad_Mini4_LogicBoard,13,28
iPhone_6s+_CellularModule,20,98
iPad_3_Battery,3,57
iPad_3_ChargingModule,20,14
Mac_MBA11-15_Keyboard,15,7
iPod_3_AmbientLightSensor,14,43
Lenovo_Yoga_Battery,7,2
iPhone_6s_Network,17,82
iPad_Air2_ChargingModule,15,3
Lenovo_Yoga2Elyis1_Battery,13,67
Lenovo_T440_ChargingModule,16,43
iPad_Mini3_CellularModule,13,33
iPad_Pro_Screen,15,56
iPhone_6_GeneralButtons,19,3
iPhone_6s+_AmbientLightSensor,14,72
iPhone_6s+_Battery,2,0
Lenovo_T320_GeneralButtons,11,23
Mac_Mini2015_AmbientLightSensor,1,64
iPad_Mini3_Camera,2,15
Mac_MB15_Network,14,96
Mac_Mini2012_ChargingModule,5,14
iPod_3_LogicBoard,6,59
iPhone_6+_GeneralButtons,11,83
Lenovo_T330_Sensors,8,97
Lenovo_Yoga_Camera,7,71
Mac_MBPR15-14_Keyboard,11,32
Lenovo_T450_WiredNetwork,18,78
iPad_Pro_ChargingModule,9,4
Mac_MBA13-13_Battery,8,0
iPod_nano5_Camera,16,36
Mac_Pro2013_Touchpad,11,59
Mac_MBRP13-15_ChargingModule,1,16
Mac_MBP13-12_ChargingModule,16,68
Lenovo_T610_ChargingModule,18,31
Mac_Mini2011_AmbientLightSensor,4,99
Lenovo_T510_LogicBoard,5,85
Mac_MBA13-13_GeneralButtons,3,55
Lenovo_T330_Screen,11,66
Lenovo_T510_Keyboard,14,19
Mac_MBP17-12_Camera,11,87
Nexus_6P_AmbientLightSensor,17,87
iPhone_5c_LogicBoard,13,61
Lenovo_T500_LogicBoard,19,65
Mac_MBPR15-14_ChargingModule,14,24
Chromebook_Pixel2_Camera,10,85
Mac_2015_Battery,6,80
Lenovo_T450_GeneralButtons,18,59
Mac_Mini2012_Touchpad,1,88
Lenovo_T320_Storage,13,82
Lenovo_T420_Battery,20,75
Lenovo_T530_Camera,1,49
Lenovo_T310_Storage,9,2
iPhone_6_Camera,8,20
Lenovo_T600_Touchpad,16,50
Mac_2013_Camera,5,95
Lenovo_T600_Camera,8,72
Mac_2010_GeneralButtons,6,97
Mac_2015_WiredNetwork,15,79
iPad_Air2_Screen,13,16
Mac_2011_Sensors,20,64
Lenovo_T410_Sensors,15,46
iPod_nano2_Sensors,9,57
Mac_2014_Network,10,17
Mac_MBPR15-14_LogicBoard,13,75
Lenovo_T510_ChargingModule,11,54
Lenovo_T530_GeneralButtons,14,25
Lenovo_Yoga2Elyis1_LogicBoard,7,67
Mac_MBA13-13_LogicBoard,17,6
iPad_Mini4_ChargingModule,10,15
iPod_nano2_Battery,4,36
Mac_MBRP15-13_AmbientLightSensor,1,26
Lenovo_T530_Keyboard,10,48
Mac_MBP17-12_Storage,8,77
Nexus_4_AmbientLightSensor,20,11
iPad_Pro2_CellularModule,3,32
iPad_Mini4_Storage,4,46
Chromebook_Pixel2_Touchpad,4,35
Mac_MBPR15-14_Network,5,87
iPhone_6_AmbientLightSensor,8,57
Lenovo_T450_Keyboard,10,29
Lenovo_T530_Touchpad,9,80
Mac_MBRP13-15_Keyboard,18,37
iPod_nano_Storage,3,2
iPod_nano2_Camera,4,85
Lenovo_T1250_Network,13,19
iPad_Mini4_Battery,18,39
Mac_MBP13-12_Keyboard,8,3
Mac_MBP13-12_Touchpad,2,33
Lenovo_T440_Touchpad,20,48
Lenovo_T430_AmbientLightSensor,2,52
Mac_2015_Network,19,78
iPad_3_Screen,1,43
Lenovo_TP1260_LogicBoard,13,89
Lenovo_Yoga_Network,19,11
Lenovo_T350_AmbientLightSensor,3,4
Lenovo_T340_WiredNetwork,10,42
Nexus_6P_ChargingModule,8,1
iPad_Pro2_Sensors,14,4
iPod_nano5_Battery,14,9
Mac_MBA13-14_GeneralButtons,18,90
Lenovo_T350_Battery,14,67
Mac_MBP17-12_LogicBoard,2,60
iPhone_6s+_GeneralButtons,5,71
iPhone_6+_Storage,15,64
Mac_2011_Storage,8,52
iPad_4_ChargingModule,4,12
Mac_MBA11-15_Touchpad,1,39
Mac_2010_Sensors,16,39
Mac_MBA13-13_ChargingModule,16,30
Mac_Pro2013_ChargingModule,15,35
iPad_Mini2_Camera,5,90
Nexus_5_GeneralButtons,4,84
Mac_MBRP13-13_Battery,12,32
iPod_nano5_GeneralButtons,20,61
Mac_MB15_Camera,9,53
iPhone_5_Camera,8,97
Lenovo_Yoga2Elyis1_Camera,1,48
Mac_MBA13-14_LogicBoard,10,37
iPhone_6_Network,5,58
Lenovo_T1250_WiredNetwork,4,63
Mac_MBP15-12_Battery,17,1
Nexus_3_ChargingModule,14,35
iPhone_4_Network,19,84
Mac_2010_Touchpad,10,22
Lenovo_TP1260_ChargingModule,1,25
iPod_nano3_AmbientLightSensor,19,30
Lenovo_TP1260_Screen,7,58
Lenovo_Yoga_Sensors,3,29
iPod_nano6_ChargingModule,20,84
iPhone_5_GeneralButtons,8,66
Mac_2015_Keyboard,18,94
Lenovo_T500_Screen,8,6
Mac_MBA11-13_Battery,20,88
Mac_MBP13-12_Network,4,81
Mac_MBA11-13_Network,8,82
Mac_2013_Storage,9,20
Mac_MB15_AmbientLightSensor,2,76
iPhone_6s_AmbientLightSensor,15,0
Mac_MBP15-12_Screen,3,52
Mac_Pro2015_LogicBoard,11,87
Lenovo_T410_LogicBoard,20,88
iPad_Mini4_Sensors,11,1
Nexus_5_Battery,19,16
iPod_nano3_Storage,10,90
Nexus_6P_Battery,20,62
Mac_Mini2012_WiredNetwork,8,54
iPad_2_AmbientLightSensor,11,57
Mac_Mini2015_LogicBoard,6,80
Mac_MBP15-12_Touchpad,16,60
Mac_MBPR13-14_Screen,19,37
Mac_MBRP13-13_Screen,2,23
iPad_Air_CellularModule,14,71
Chromebook_Pixel2_Sensors,3,81
iPhone_4s_AmbientLightSensor,10,93
Lenovo_Yoga_AmbientLightSensor,10,0
Lenovo_T340_Sensors,8,34
Chromebook_Pixel2_GeneralButtons,18,46
Mac_MBPR15-14_Sensors,12,76
iPad_3_CellularModule,15,61
iPod_4_Network,20,98
iPod_nano6_Screen,20,18
Mac_MBRP13-15_Sensors,15,70
Lenovo_T340_ChargingModule,20,19
Mac_MBP17-12_Screen,9,17
Mac_MBA11-15_Network,1,33
Lenovo_T310_LogicBoard,18,93
Nexus_6P_Camera,5,71
Mac_MBPR15-14_AmbientLightSensor,5,14
Lenovo_Elyis2_WiredNetwork,1,42
Lenovo_T330_Network,15,63
iPhone_5c_GeneralButtons,7,58
Mac_2013_WiredNetwork,3,42
iPod_nano2_GeneralButtons,2,23
iPod_nano6_LogicBoard,11,59
iPod_4_Storage,11,50
Lenovo_T430_Battery,4,12
Mac_Pro2013_Battery,16,61
iPhone_6+_AmbientLightSensor,16,54
Lenovo_T450_ChargingModule,11,34
Mac_Mini2015_Camera,10,34
iPhone_5_AmbientLightSensor,9,50
Nexus_4_CellularModule,12,33
Mac_2011_ChargingModule,16,72
Mac_Mini2011_WiredNetwork,6,24
Lenovo_T530_Screen,18,98
iPad_Air2_GeneralButtons,4,64
Mac_MBPR13-14_Battery,5,89
iPod_nano3_ChargingModule,11,54
iPod_5_Sensors,2,99
Mac_MBRP13-13_ChargingModule,7,85
Mac_MBA13-13_LogicBoard,11,1
Mac_MBA13-14_Sensors,2,55
Nexus_6P_LogicBoard,17,46
Mac_Pro2015_Network,17,25
Chromebook_Pixel2_Screen,14,62
iPhone_6+_Sensors,16,70
Mac_MBA13-13_WiredNetwork,17,48
